Threads,Execution Time
1,"2.084"
2,"1.033"
3,"0.810"
4,"0.584"
5,"0.459"
6,"0.444"
7,"0.400"
8,"0.348"
9,"0.328"
10,"0.333"
11,"0.283"
12,"0.309"
13,"0.280"
14,"0.264"
15,"0.245"
16,"0.228"
