Threads,Execution Time
1,"10.419"
2,"5.455"
3,"4.467"
4,"3.759"
5,"2.876"
6,"2.722"
7,"2.420"
8,"2.258"
9,"2.065"
10,"1.951"
11,"1.960"
12,"2.113"
13,"2.331"
14,"2.281"
15,"2.062"
16,"2.089"
