Threads,Execution Time
1,"9.787"
2,"4.733"
3,"3.794"
4,"3.087"
5,"2.470"
6,"1.932"
7,"1.661"
8,"2.070"
9,"1.704"
10,"1.742"
11,"1.805"
12,"2.152"
13,"2.019"
14,"2.219"
15,"2.492"
16,"1.739"
