Threads,Execution Time
1,"8.400"
2,"4.898"
3,"3.372"
4,"2.965"
5,"2.352"
6,"1.985"
7,"1.697"
8,"1.508"
9,"1.431"
10,"1.330"
11,"1.379"
12,"1.246"
13,"1.383"
14,"1.693"
15,"1.443"
16,"1.444"
