Threads,Execution Time
1,"10.570"
2,"4.989"
3,"4.002"
4,"3.296"
5,"2.341"
6,"2.861"
7,"2.098"
8,"1.756"
9,"1.756"
10,"1.680"
11,"1.638"
12,"1.712"
13,"1.665"
14,"1.373"
15,"2.083"
16,"1.769"
