Threads,Execution Time
1,"9.345"
2,"6.698"
3,"3.951"
4,"3.732"
5,"2.562"
6,"2.773"
7,"2.360"
8,"2.154"
9,"1.743"
10,"2.074"
11,"1.937"
12,"2.081"
13,"1.688"
14,"2.148"
15,"2.118"
16,"2.069"
