Threads,Execution Time
1,"2.192"
2,"1.182"
3,"0.754"
4,"0.552"
5,"0.459"
6,"0.404"
7,"0.384"
8,"0.351"
9,"0.335"
10,"0.318"
11,"0.288"
12,"0.277"
13,"0.264"
14,"0.256"
15,"0.238"
16,"0.223"
