Threads,Execution Time
1,"2.249"
2,"1.085"
3,"0.753"
4,"0.553"
5,"0.492"
6,"0.401"
7,"0.421"
8,"0.348"
9,"0.317"
10,"0.302"
11,"0.279"
12,"0.259"
13,"0.258"
14,"0.242"
15,"0.233"
16,"0.222"
