Threads,Execution Time
1,"2.297"
2,"1.156"
3,"0.729"
4,"0.549"
5,"0.446"
6,"0.434"
7,"0.356"
8,"0.336"
9,"0.329"
10,"0.306"
11,"0.296"
12,"0.277"
13,"0.269"
14,"0.261"
15,"0.238"
16,"0.226"
