Threads,Execution Time
1,"2.108"
2,"1.058"
3,"0.739"
4,"0.603"
5,"0.462"
6,"0.399"
7,"0.397"
8,"0.331"
9,"0.317"
10,"0.291"
11,"0.285"
12,"0.277"
13,"0.273"
14,"0.249"
15,"0.240"
16,"0.232"
