Threads,Execution Time
1,"2.201"
2,"1.083"
3,"0.730"
4,"0.599"
5,"0.487"
6,"0.444"
7,"0.402"
8,"0.355"
9,"0.324"
10,"0.309"
11,"0.291"
12,"0.282"
13,"0.270"
14,"0.246"
15,"0.230"
16,"0.228"
