Threads,Execution Time
1,"2.162"
2,"1.057"
3,"0.736"
4,"0.564"
5,"0.463"
6,"0.455"
7,"0.380"
8,"0.359"
9,"0.317"
10,"0.306"
11,"0.288"
12,"0.276"
13,"0.261"
14,"0.276"
15,"0.247"
16,"0.234"
