Threads,Execution Time
1,"2.152"
2,"1.029"
3,"0.777"
4,"0.596"
5,"0.474"
6,"0.438"
7,"0.363"
8,"0.346"
9,"0.318"
10,"0.305"
11,"0.285"
12,"0.287"
13,"0.263"
14,"0.246"
15,"0.231"
16,"0.231"
