Threads,Execution Time
1,"8.668"
2,"4.905"
3,"3.660"
4,"3.056"
5,"2.590"
6,"1.951"
7,"1.720"
8,"1.638"
9,"1.868"
10,"2.615"
11,"2.323"
12,"2.162"
13,"2.073"
14,"2.003"
15,"2.715"
16,"2.177"
