Threads,Execution Time
1,"11.539"
2,"6.156"
3,"4.707"
4,"3.647"
5,"3.129"
6,"2.629"
7,"2.557"
8,"2.327"
9,"2.286"
10,"2.106"
11,"2.251"
12,"2.781"
13,"2.129"
14,"2.246"
15,"2.206"
16,"2.118"
