Threads,Execution Time
1,"2.177"
2,"1.057"
3,"0.753"
4,"0.604"
5,"0.502"
6,"0.419"
7,"0.385"
8,"0.336"
9,"0.329"
10,"0.293"
11,"0.292"
12,"0.278"
13,"0.258"
14,"0.256"
15,"0.233"
16,"0.231"
