Threads,Execution Time
1,"10.047"
2,"5.716"
3,"4.880"
4,"3.585"
5,"2.987"
6,"3.018"
7,"2.361"
8,"2.460"
9,"2.123"
10,"1.768"
11,"2.136"
12,"1.955"
13,"2.258"
14,"2.273"
15,"2.503"
16,"2.516"
