Threads,Execution Time
1,"10.606"
2,"5.280"
3,"3.571"
4,"2.746"
5,"2.470"
6,"2.055"
7,"1.845"
8,"2.249"
9,"1.745"
10,"2.012"
11,"1.660"
12,"1.629"
13,"1.672"
14,"1.763"
15,"1.552"
16,"1.549"
