Threads,Execution Time
1,"2.248"
2,"1.106"
3,"0.739"
4,"0.588"
5,"0.460"
6,"0.426"
7,"0.372"
8,"0.341"
9,"0.325"
10,"0.300"
11,"0.288"
12,"0.267"
13,"0.266"
14,"0.248"
15,"0.240"
16,"0.230"
